Topic,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10
"'Unfulfilled Refund Promise' is semantically identical to 'Untrustworthy Store Policy'. 

Canonical Topic: Untrustworthy Store Policy",0,1,0,0,0,0,0,0,0,0
Unresolved Issues,0,2,0,0,0,0,1,0,0,0
Cancellation Issue,0,1,0,0,0,0,0,0,0,0
"""Order Taking Issues"" is semantically identical to ""Order Confirmation Issues"". 

Canonical Topic: Order Confirmation Issues",0,1,0,0,0,0,0,0,0,0
Fast Delivery,0,1,1,0,0,0,0,0,0,0
"""N/A 

There is not enough information in the review to identify distinct issues, requests, or feedback points.""",0,1,1,0,0,0,0,0,0,0
Price Discrepancy,0,1,0,0,0,0,0,0,0,0
Inaccurate Delivery Time Estimate,0,1,0,0,0,0,0,1,0,0
Poor Technical Support,0,1,0,0,0,0,0,0,0,0
'Lack of Options',0,1,1,0,0,0,0,0,0,0
Unfair Platform Fee,0,1,0,0,0,0,0,0,0,0
Incorrect Order Fulfillment,0,1,0,0,4,0,0,1,0,0
Missing Delivery Information,0,1,0,0,0,0,0,0,0,0
Misleading Coupons,0,1,0,0,0,0,0,0,0,0
Cancellation Fee Deduction,0,1,0,0,0,0,0,0,0,0
'Inaccurate Estimated Delivery Time',0,1,0,0,0,0,0,0,0,0
'NEW_TOPIC',0,3,5,4,3,2,1,2,1,0
App Legitimacy Questioned,0,1,0,0,0,0,0,0,0,0
Ineffective Support Resolution.,0,1,0,0,0,0,0,0,0,0
"""नियम तोड़ने वाली बड़ी कंपनियां""

The new topic ""शाकाहारी खाद्य पदार्थ में चिकन रोल आना"" is semantically identical to the canonical candidate ""नियम तोड़ने वाली बड़ी कंपनियां"", as both refer to a situation where a large company has broken rules or norms.",0,1,0,0,0,0,0,0,0,0
"""Delays""",0,1,0,0,0,0,0,0,0,0
Unresolved Technical Issue,0,1,0,0,0,0,0,0,0,0
"""Here are the distinct issues, requests, or feedback points extracted from the review:\n\nOrder Cancellation Issue""",0,1,0,0,0,0,0,0,0,0
"'Inconsistent Refund Timeline' is semantically identical to 'Refund Policy Problems'. 

Canonical Topic: 'Refund Policy Problems'",0,1,0,0,0,0,0,0,0,0
Unresponsive Delivery Partner,0,1,0,0,0,0,0,0,0,0
'Wrong Order',0,1,0,0,0,0,0,1,0,0
Order Fulfillment,0,1,0,0,0,0,0,1,0,0
App User Experience,0,1,0,0,0,0,0,0,0,0
"""Delivery Partner Issues""",0,1,0,0,0,1,1,0,0,0
"'App Cancels Orders' is semantically identical to 'Cancelled Orders'. 

Canonical Topic: 'Cancelled Orders'",0,1,0,0,0,0,0,0,0,0
'Poor Restaurant Response',0,1,0,0,0,0,0,0,0,0
'Poor Value for Money',0,1,0,0,0,0,1,0,0,0
"""Delivery Time Delay"" is semantically identical to ""Delivery Time"".",0,1,0,0,0,0,0,0,0,0
Delivery Partner Issues,0,1,1,0,2,0,2,0,1,0
No Refund Option,0,1,0,0,0,0,0,0,0,0
'Broken Promises',0,1,0,0,0,0,2,0,0,0
"Misleading Consumers 

Explanation: The meaning of ""Misleading Consumers"" is semantically identical to ""Misrepresentation"".",0,0,1,0,0,0,0,0,0,0
Poor Customer Service,0,0,1,0,1,0,0,0,0,0
"""Unprofessional Behavior""",0,0,1,0,0,0,0,0,0,1
Order Accuracy Issue,0,0,1,0,0,0,0,0,0,0
Exploitative Practices,0,0,1,0,0,0,0,0,0,0
"""Duplicate Charges Issue""",0,0,1,0,0,0,0,0,0,0
Late Night Order Issues,0,0,1,0,0,0,0,0,0,0
Missing Refund,0,0,1,0,0,1,1,1,0,0
"""Refund Policy""",0,0,1,0,0,0,0,0,0,0
"'Excess Item Charges' is semantically identical to 'Charging Extra Fees'. 

Canonical Topic: Charging Extra Fees",0,0,1,0,0,0,0,0,0,0
'Inaccurate Product Description',0,0,1,0,0,0,0,0,0,0
Comparison with Competitors,0,0,1,0,0,0,0,0,0,0
Lack of Refund,0,0,1,0,0,1,0,0,0,0
Poor Customer Support,0,0,2,0,0,0,0,0,0,0
'Unsatisfactory User Experience',0,0,1,1,0,0,0,0,0,0
'Ease of Use',0,0,1,0,0,0,0,0,0,0
Order Not Refunded,0,0,1,0,0,0,0,0,0,0
Partner Delivery Issues,0,0,1,0,0,0,0,0,0,0
Late Delivery Time,0,0,2,0,0,0,0,0,0,0
'High Delivery Costs',0,0,1,0,0,0,0,0,0,0
'Cancelled Orders',0,0,1,0,0,1,0,0,0,0
GST Charge,0,0,1,0,0,0,0,0,0,0
Inadequate Refund,0,0,1,0,0,0,0,1,0,0
Inaccurate Order Fulfillment,0,0,1,0,0,0,0,0,0,0
Misleading Voucher Offer,0,0,1,0,0,0,0,0,0,0
'Lack of Resolution',0,0,1,0,0,0,0,0,1,0
'Poor Partner Support',0,0,1,0,0,0,0,0,0,0
'Poor User Experience',0,0,1,1,2,1,0,0,0,0
"""App is a Scam""",0,0,1,0,0,0,0,0,0,0
"""Cancelled Orders""",0,0,1,0,0,0,0,0,0,0
Unhelpful Staff,0,0,1,0,0,0,0,0,0,0
Refund Request,0,0,0,1,0,0,0,1,0,1
Loss of Trust,0,0,0,1,0,0,0,0,0,0
Inefficient Complaint Resolution.,0,0,0,1,0,0,0,0,0,0
'Inadequate Communication',0,0,0,1,1,1,1,1,0,0
No Response to Calls,0,0,0,1,0,0,0,0,0,0
'Cold Food',0,0,0,1,0,0,0,0,0,0
"""Bad Quality Food""",0,0,0,1,1,1,0,0,0,0
"""Charge Deduction Issue"" is semantically identical to ""Cancellation Fee Charges"". 

Canonical Topic: Cancellation Fee Charges",0,0,0,1,0,0,0,0,0,0
"""Uncooperative Support Team""

The new topic is semantically identical to one of the canonical candidates.",0,0,0,1,0,0,0,0,0,0
Delivery Partner Unresponsive,0,0,0,1,0,0,0,0,0,0
'Poor Customer Service'.,0,0,0,1,0,0,0,0,0,0
"'Unreliable Payment Method' is semantically identical to 'Unreliable Order Handling'. 

Canonical Topic: Unreliable Order Handling",0,0,0,1,0,0,0,0,0,0
'Unfair Delivery Charge',0,0,0,1,0,0,0,0,0,0
'Order Not Being Processed',0,0,0,1,0,0,0,1,0,0
'Nice App',0,0,0,1,0,0,0,0,0,0
'Unacceptable Business Practices',0,0,0,1,0,0,0,0,0,0
"""Distance Accuracy""",0,0,0,1,0,0,0,0,0,0
"'Poor Delivery Condition' is semantically identical to 'Delivery Quality'. 

Canonical Topic: 'Delivery Quality'",0,0,0,1,0,0,0,0,0,0
Delivery Partner Rude,0,0,0,1,0,0,0,0,0,0
'Lack of Offers',0,0,0,1,0,0,0,0,0,0
App Functionality Issues,0,0,0,1,0,0,0,0,0,0
"Poor Customer Service is semantically identical to ""Lack of Customer Centricity"". 

Canonical Topic: Lack of Customer Centricity",0,0,0,1,0,0,0,0,1,0
Missing Order Details,0,0,0,1,0,0,0,0,0,0
Rude Staff,0,0,0,1,0,0,0,0,0,0
'Conflicting Order Status Updates',0,0,0,1,0,0,0,0,0,0
'Prompt Refund Request',0,0,0,1,0,0,0,0,0,0
"""Return/Refund Issues""",0,0,0,1,0,0,0,0,0,0
Unresponsive Agents,0,0,0,1,0,0,0,0,0,0
'Lack of Notification',0,0,0,1,1,0,0,0,0,0
'Charging Extra Fees',0,0,0,1,1,0,0,1,0,0
"""Long Delivery Times""

The new topic is semantically identical to one of the canonical candidates.",0,0,0,1,0,0,1,0,0,0
'Misleading Order Status',0,0,0,1,0,0,0,1,0,0
Inaccurate Estimated Time,0,0,0,1,0,0,0,0,0,0
Customer Support Response,0,0,0,0,1,0,0,0,1,0
'Offers',0,0,0,0,3,0,1,1,0,0
Order Cancellation Delay,0,0,0,0,1,0,0,0,0,0
Inefficient Delivery Chain,0,0,0,0,1,0,0,0,0,0
"""Cancellation Policy Issue""",0,0,0,0,1,0,0,0,1,0
'Wrong Orders Delivered',0,0,0,0,1,1,0,2,0,0
Poor Customer Support Experience,0,0,0,0,1,0,0,0,0,0
"""Prices""",0,0,0,0,1,0,0,0,0,0
'Location Selection Process',0,0,0,0,1,0,1,0,0,0
App Functionality,0,0,0,0,1,0,0,0,0,0
'Unreliable Delivery.',0,0,0,0,1,0,0,1,1,0
Discount,0,0,0,0,1,0,0,0,0,0
Payment Method Issue,0,0,0,0,1,0,0,0,0,0
Cash on Delivery Option,0,0,0,0,2,0,0,0,0,0
"""No Refund System""",0,0,0,0,1,1,1,0,1,0
Order Placement Problems,0,0,0,0,1,0,0,0,0,0
'Loss of Money'.,0,0,0,0,1,0,0,0,0,0
Payment Issue,0,0,0,0,1,0,0,0,0,0
Excessive Promotional Notifications,0,0,0,0,1,0,0,0,0,0
"""Food Quality""",0,0,0,0,1,0,0,0,0,0
"Cash on Delivery Issue 

The new topic is semantically identical to one of the canonical candidates.",0,0,0,0,1,0,0,0,0,0
Wrong Order Fulfillment,0,0,0,0,1,0,0,0,0,0
Delivery Service Quality.,0,0,0,0,1,0,0,0,0,0
Payment Application Issues,0,0,0,0,1,0,0,0,0,0
'Incorrect Charge',0,0,0,0,1,0,0,0,0,0
Missing Item Refund,0,0,0,0,1,0,0,0,0,0
'Ineffective Help System',0,0,0,0,1,0,0,0,0,0
"Ineffective Help Chat 

The new topic is semantically identical to one of the candidates.",0,0,0,0,1,0,0,0,0,0
Order Processing Issues,0,0,0,0,1,1,0,0,0,0
'Availability of Options' matches semantically with 'Alternative Options'.,0,0,0,0,1,0,0,0,0,0
'Unprofessional Delivery Boy',0,0,0,0,1,0,0,0,0,0
'Unreliable Service Provider',0,0,0,0,1,0,0,0,1,0
"""Speed""",0,0,0,0,1,0,0,0,0,0
'Food Order Experience',0,0,0,0,0,1,0,1,0,0
Delivery App Issues,0,0,0,0,0,1,0,0,1,0
"""Cold Food""",0,0,0,0,0,1,0,0,0,0
"""Wrong Order""",0,0,0,0,0,1,0,0,0,0
"""Delivery Time Inconsistency"" is semantically identical to ""Poor Delivery Experience"". 

Canonical Topic: Poor Delivery Experience",0,0,0,0,0,1,0,0,0,0
'Unprofessional Behavior',0,0,0,0,0,2,1,0,0,0
'Unacceptable Service',0,0,0,0,0,1,0,0,0,0
Poor Order Management,0,0,0,0,0,1,0,1,0,0
"""Delivery issue""",0,0,0,0,0,1,0,0,0,0
"'Unprofessional Customer Support' is semantically identical to 'Unhelpful Customer Care'. 

Canonical Topic: Unhelpful Customer Care",0,0,0,0,0,1,0,0,0,0
Miscommunication with Customer Support,0,0,0,0,0,1,0,0,0,0
GST Charges,0,0,0,0,0,1,0,0,0,0
Gown Quality,0,0,0,0,0,1,0,0,0,0
"""Food Contamination Issue"" 

The new topic is semantically identical to one of the canonical candidates.",0,0,0,0,0,1,0,0,0,0
Refund Policy Issues,0,0,0,0,0,1,0,0,1,0
Delivery Partner Delay,0,0,0,0,0,1,0,0,0,0
Inadequate Resolution Process,0,0,0,0,0,1,0,0,0,0
"'Rude Rider Behaviour' is semantically identical to 'Unprofessional Behavior'. 

Canonical Topic: Unprofessional Behavior",0,0,0,0,0,1,0,0,0,0
'Food Delivery Experience',0,0,0,0,0,1,0,0,0,0
'No Response from Customer Care',0,0,0,0,0,2,0,0,0,0
Delivery Time Estimates,0,0,0,0,0,1,0,0,0,0
'Order Cancellation without Refund',0,0,0,0,0,1,0,0,0,0
Refund request,0,0,0,0,0,1,0,0,0,0
'Loss of Money',0,0,0,0,0,1,0,0,0,0
Refund of Extra Payment,0,0,0,0,0,1,0,0,0,0
Duplicate Payment Collection,0,0,0,0,0,1,0,0,0,0
Wait Time for Delivery,0,0,0,0,0,2,0,0,0,0
"""Food Quality Issues""",0,0,0,0,0,1,0,0,0,0
'Health Concerns',0,0,0,0,0,1,0,0,0,0
Cancellation Fee Charges,0,0,0,0,0,0,2,0,0,0
'Customer Service',0,0,0,0,0,0,1,0,0,0
Missing Invoice,0,0,0,0,0,0,1,0,0,0
Inefficient Delivery Partners.,0,0,0,0,0,0,1,0,0,0
'Chatbot Functionality',0,0,0,0,0,0,1,0,0,0
'Order Not Cancelled',0,0,0,0,0,0,1,0,0,0
Missing Items Received,0,0,0,0,0,0,1,0,0,0
"""Here are the distinct issues and feedback points extracted from the review:\n\nCancellation Policy""",0,0,0,0,0,0,1,0,0,0
'Unfair Taxation',0,0,0,0,0,0,1,0,0,0
'Incorrect Address Display',0,0,0,0,0,0,1,0,0,0
'Lack of Order Status Update',0,0,0,0,0,0,2,0,1,0
Order Delivery Time Delay,0,0,0,0,0,0,1,0,0,0
'Unclear Communication.',0,0,0,0,0,0,1,0,0,0
Order Cancellation Option,0,0,0,0,0,0,1,0,0,0
"""Unfair Billing Practices""",0,0,0,0,0,0,1,0,0,0
'Lack of Refund Policy',0,0,0,0,0,0,1,1,0,0
Missing Product Refund.,0,0,0,0,0,0,1,0,0,0
"""Charging Extra Fees""",0,0,0,0,0,0,0,1,0,0
"'Poor Address Understanding.' is semantically identical to 'Address Change Problem'. 

Canonical Topic: 'Address Change Problem'",0,0,0,0,0,0,0,1,0,0
Delivery Partner Unavailability,0,0,0,0,0,0,0,1,0,0
'Poor Communication.',0,0,0,0,0,0,0,1,0,0
App Quality Problems,0,0,0,0,0,0,0,1,0,0
Payment Process,0,0,0,0,0,0,0,1,0,0
'Product Quantity',0,0,0,0,0,0,0,1,0,0
Coupon Validity,0,0,0,0,0,0,0,1,0,0
Unavailable Refunds,0,0,0,0,0,0,0,1,0,0
Excessive Charges,0,0,0,0,0,0,0,1,1,0
Inaccurate Delivery Time Estimates,0,0,0,0,0,0,0,1,0,0
'Unexpected Additional Charges' matches with 'Charging Extra Fees'.,0,0,0,0,0,0,0,1,0,0
'Price too high',0,0,0,0,0,0,0,1,0,0
"""Swiggy App Experience""",0,0,0,0,0,0,0,1,0,0
'Unfair Fee Charges',0,0,0,0,0,0,0,1,0,0
'Unreliable Delivery',0,0,0,0,0,0,0,1,0,0
"""Scamming Practices""",0,0,0,0,0,0,0,1,0,0
'Maintenance Quality' is semantically identical to 'Service Improvement Needed'.,0,0,0,0,0,0,0,1,0,0
Customer Care,0,0,0,0,0,0,0,1,0,0
"""Unfair Delivery Charge""",0,0,0,0,0,0,0,1,0,0
Poor Delivery Packaging,0,0,0,0,0,0,0,1,0,0
"Missing Item in Delivery 

The canonical topic is semantically identical to the new topic.",0,0,0,0,0,0,0,1,0,0
Store Closure Notification,0,0,0,0,0,0,0,1,0,0
"""Unresponsive Customer Service"" is semantically identical to ""Ungrateful Customer Service"". 

Canonical Topic: Ungrateful Customer Service",0,0,0,0,0,0,0,1,0,0
'Pathetic Service',0,0,0,0,0,0,0,1,0,0
App Navigation Issue,0,0,0,0,0,0,0,1,0,0
Customer Care Service,0,0,0,0,0,0,0,0,1,0
Unprofessional Staff,0,0,0,0,0,0,0,0,1,0
Hidden Fees Charged,0,0,0,0,0,0,0,0,1,0
Unnecessary Rain Fee,0,0,0,0,0,0,0,0,1,0
Unfair Pricing Practice,0,0,0,0,0,0,0,0,1,0
Comparison of Offers,0,0,0,0,0,0,0,0,1,0
Affordable Food Prices,0,0,0,0,0,0,0,0,1,0
Fraudulent Delivery Partner,0,0,0,0,0,0,0,0,1,0
"'Connectivity Issues' 

The new topic is semantically identical to one of the candidates.",0,0,0,0,0,0,0,0,1,0
Payment Method Problems,0,0,0,0,0,0,0,0,1,0
Menu Interface Improvements Needed,0,0,0,0,0,0,0,0,1,0
'Speed',0,0,0,0,0,0,0,0,1,0
"""Food Delivery Issues""",0,0,0,0,0,0,0,0,1,0
Order Processing Issue,0,0,0,0,0,0,0,0,1,0
'Order Processing Speed',0,0,0,0,0,0,0,0,1,0
Order Cancellation Process,0,0,0,0,0,0,0,0,1,0
Unreliable Delivery Partner,0,0,0,0,0,0,0,0,1,0
"""Defective Product Delivery""",0,0,0,0,0,0,0,0,1,0
Inefficient Complaint Resolution Process.,0,0,0,0,0,0,0,0,1,0
Delivery Charges,0,0,0,0,0,0,0,0,1,0
Order Cancellation Reason,0,0,0,0,0,0,0,0,1,0
'Inadequate Service',0,0,0,0,0,0,0,0,1,0
"""No Response from Support"" 

The new topic is semantically identical to one of the canonical candidates.",0,0,0,0,0,0,0,0,1,0
Order Cancellation Problems,0,0,0,0,0,0,0,0,1,0
'Poor Service Provider',0,0,0,0,0,0,0,0,1,0
'Poor Quality',0,0,0,0,0,0,0,0,1,0
"""Uselessness of App""",0,0,0,0,0,0,0,0,0,1
"""Bad Customer Service""",0,0,0,0,0,0,0,0,0,1
'Food Delivery Issues',0,0,0,0,0,0,0,0,0,1
"""Delivery Time Issues"" is semantically identical to ""Delivery Time Inquiry"". 

Canonical Topic: Delivery Time Inquiry",0,0,0,0,0,0,0,0,0,1
'Delivery partner rude',0,0,0,0,0,0,0,0,0,1
